Name,DateOfSearch,Checkin,Checkout,NumOfWeekendDays,Nights,District,Score,Rating,Review,Includes,Refundable,Price
The Hoxton Williamsburg,2023/3/1,2023/3/2,2023/3/3,0,1,Williamsburg,9.0,Wonderful,"(1,000 reviews)",,Fully refundable,$347 total
Hampton Inn Manhattan/Times Square Central,2023/3/1,2023/3/2,2023/3/3,0,1,Theater District,8.6,Excellent,"(1,338 reviews)",Breakfast included,Fully refundable,$381 total
Cachet Boutique New York,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.6,Good,"(1,002 reviews)",,0,$287 total
"PUBLIC, an Ian Schrager hotel",2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.0,Very Good,"(1,447 reviews)",,0,$446 total
Hampton Inn NY-JFK,2023/3/1,2023/3/2,2023/3/3,0,1,Queens,7.6,Good,"(1,216 reviews)",Breakfast included,0,$181 total
Comfort Inn JFK Airport,2023/3/1,2023/3/2,2023/3/3,0,1,Queens,8.0,Very Good,"(1,414 reviews)",Breakfast included,0,$155 total
citizenM New York Bowery,2023/3/1,2023/3/2,2023/3/3,0,1,New York,9.2,Wonderful,"(1,282 reviews)",,Fully refundable,$301 total
Hilton New York JFK Airport,2023/3/1,2023/3/2,2023/3/3,0,1,Queens,7.4,Good,"(1,002 reviews)",Airport shuttle included,0,$193 total
The MUSE New York,2023/3/1,2023/3/2,2023/3/3,0,1,Theater District,8.8,Excellent,"(1,001 reviews)",,0,$533 total
Arlo NoMad,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.0,Very Good,"(1,594 reviews)",,0,$353 total
Paramount Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Theater District,7.2,Good,"(1,004 reviews)",,0,$285 total
Empire Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.4,Good,"(1,287 reviews)",Pool,0,$292 total
Trump International Hotel & Tower New York,2023/3/1,2023/3/2,2023/3/3,0,1,New York,9.2,Wonderful,"(1,000 reviews)",Pool,0,$753 total
Hotel 32 32,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.0,Very Good,"(1,284 reviews)",,0,$302 total
St Marks Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,New York,6.2,(934 reviews),,,Fully refundable,$130 total
Chelsea Inn,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.6,Good,(998 reviews),,0,$224 total
Broadway Plaza Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.8,Excellent,"(1,154 reviews)",,0,$290 total
The Gallivant Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Theater District,6.6,"(1,757 reviews)",,,Fully refundable,$238 total
The Fifty Sonesta Select New York,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.2,Very Good,"(1,004 reviews)",,0,$293 total
Hudson River Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.0,Good,(998 reviews),,0,$188 total
Ameritania Hotel at Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Theater District,8.4,Very Good,"(1,119 reviews)",,0,$304 total
Hyatt Grand Central New York,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.8,Good,"(1,625 reviews)",,0,$379 total
Royalton New York,2023/3/1,2023/3/2,2023/3/3,0,1,Central New York City,8.0,Very Good,"(1,000 reviews)",,Fully refundable,$298 total
DoubleTree by Hilton New York Downtown,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.2,Good,"(1,147 reviews)",,0,$256 total
"Club Quarters, Times Square - Midtown",2023/3/1,2023/3/2,2023/3/3,0,1,Central New York City,8.4,Very Good,"(1,728 reviews)",,0,$314 total
The Benjamin Royal Sonesta New York,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.8,Excellent,"(1,002 reviews)",,Fully refundable,$391 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",2023/3/1,2023/3/2,2023/3/3,0,1,Queens,7.2,Good,"(1,000 reviews)",Breakfast included,0,$144 total
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",2023/3/1,2023/3/2,2023/3/3,0,1,Central New York City,9.2,Wonderful,"(1,219 reviews)",,0,$348 total
Sky Hotel Flushing/LaGuardia Airport,2023/3/1,2023/3/2,2023/3/3,0,1,Flushing,,,,,0,$94 total
Moxy Brooklyn Willamsburg,2023/3/1,2023/3/2,2023/3/3,0,1,Williamsburg,,,,,0,$255 total
Omni Berkshire Place,2023/3/1,2023/3/2,2023/3/3,0,1,New York,9.0,Wonderful,"(1,001 reviews)",,Fully refundable,$447 total
Artezen Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,New York,9.4,Exceptional,"(1,360 reviews)",,0,$318 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.6,Excellent,"(1,002 reviews)",,Fully refundable,$267 total
Hotel Riu Plaza New York Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.8,Excellent,"(3,130 reviews)",Breakfast included,Fully refundable,$392 total
The Park Ave North,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.6,Good,(573 reviews),,0,$129 total
Fairfield Inn by Marriott JFK Airport,2023/3/1,2023/3/2,2023/3/3,0,1,Queens,8.4,Very Good,"(1,002 reviews)",Breakfast included,0,$204 total
RIU Plaza Manhattan Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Theater District,8.8,Excellent,"(1,808 reviews)",,Fully refundable,$369 total
The Belvedere Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.6,Excellent,"(2,239 reviews)",,Fully refundable,$337 total
Four Points by Sheraton Flushing,2023/3/1,2023/3/2,2023/3/3,0,1,Queens,8.6,Excellent,(534 reviews),Pool,0,$173 total
Hilton Garden Inn New York/Times Square Central,2023/3/1,2023/3/2,2023/3/3,0,1,Theater District,8.2,Very Good,"(1,001 reviews)",,0,$329 total
Hilton New York Fashion District,2023/3/1,2023/3/2,2023/3/3,0,1,Chelsea,8.0,Very Good,"(1,000 reviews)",,0,$361 total
Park Terrace Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Central New York City,9.2,Wonderful,"(1,001 reviews)",,0,$483 total
Archer Hotel New York,2023/3/1,2023/3/2,2023/3/3,0,1,Central New York City,9.0,Wonderful,"(1,002 reviews)",,0,$436 total
The Westin New York Grand Central,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.6,Excellent,"(1,168 reviews)",,0,$400 total
Hyatt Centric Wall Street New York,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.8,Excellent,(999 reviews),,0,$367 total
Fitzpatrick Grand Central,2023/3/1,2023/3/2,2023/3/3,0,1,New York,9.0,Wonderful,"(1,000 reviews)",,Fully refundable,$334 total
Four Points By Sheraton New York Downtown,2023/3/1,2023/3/2,2023/3/3,0,1,New York,7.4,Good,"(1,001 reviews)",,0,$242 total
Pestana Park Avenue,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.8,Excellent,(321 reviews),,0,$329 total
Conrad New York Midtown,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.4,Very Good,(999 reviews),,0,$703 total
TownePlace Suites by Marriott New York Brooklyn,2023/3/1,2023/3/2,2023/3/3,0,1,Brooklyn,8.6,Excellent,(89 reviews),Breakfast included,0,$305 total
Radio Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,New York,8.8,Excellent,(327 reviews),,0,$218 total
