Name,DateOfSearch,Checkin,Checkout,NumOfWeekendDays,Nights,District,Score,Rating,Review,Includes,Refundable,Price
Hotel 32 32,2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.0,Very Good,"(1,410 reviews)",,0,$258 total
Archer Hotel New York,2023/2/27,2023/2/28,2023/3/1,0,1,Central New York City,9.0,Wonderful,"(1,042 reviews)",,0,$312 total
Conrad New York Midtown,2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.4,Very Good,"(1,014 reviews)",,0,$588 total
"PUBLIC, an Ian Schrager hotel",2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.0,Very Good,"(1,592 reviews)",,0,$348 total
"Element New York Times Square West, a Marriott Hotel",2023/2/27,2023/2/28,2023/3/1,0,1,New York,7.8,Good,"(1,119 reviews)",Breakfast included,0,$199 total
Paramount Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Theater District,7.2,Good,"(1,246 reviews)",,0,$201 total
Artezen Hotel,2023/2/27,2023/2/28,2023/3/1,0,1,New York,9.4,Exceptional,"(1,522 reviews)",,0,$214 total
Arlo NoMad,2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.0,Very Good,"(1,739 reviews)",,0,$276 total
Moxy Brooklyn Willamsburg,2023/2/27,2023/2/28,2023/3/1,0,1,Williamsburg,,,,,0,$234 total
Hampton Inn NY-JFK,2023/2/27,2023/2/28,2023/3/1,0,1,Queens,7.6,Good,"(1,293 reviews)",Breakfast included,0,$175 total
citizenM New York Bowery,2023/2/27,2023/2/28,2023/3/1,0,1,New York,9.2,Wonderful,"(1,510 reviews)",,Fully refundable,$261 total
Arlo SoHo,2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.2,Very Good,"(1,438 reviews)",,0,$255 total
Ameritania Hotel at Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Theater District,8.2,Very Good,"(1,262 reviews)",,0,$237 total
Comfort Inn JFK Airport,2023/2/27,2023/2/28,2023/3/1,0,1,Queens,8.0,Very Good,"(1,404 reviews)",Breakfast included,0,$153 total
Park Terrace Hotel,2023/2/27,2023/2/28,2023/3/1,0,1,Central New York City,9.2,Wonderful,"(1,075 reviews)",,0,$312 total
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",2023/2/27,2023/2/28,2023/3/1,0,1,Central New York City,9.2,Wonderful,"(1,350 reviews)",,0,$262 total
Millennium Hotel Broadway Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Theater District,7.0,Good,"(6,336 reviews)",,Fully refundable,$253 total
Hilton New York Fashion District,2023/2/27,2023/2/28,2023/3/1,0,1,Chelsea,8.0,Very Good,"(1,018 reviews)",,0,$266 total
citizenM New York Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Theater District,9.2,Wonderful,"(1,472 reviews)",,Fully refundable,$266 total
Empire Hotel,2023/2/27,2023/2/28,2023/3/1,0,1,New York,7.4,Good,"(1,600 reviews)",Pool,0,$249 total
Archer Hotel New York,2023/2/27,2023/2/28,2023/3/1,0,1,Central New York City,9.0,Wonderful,"(1,042 reviews)",,0,$312 total
Hotel 32 32,2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.0,Very Good,"(1,410 reviews)",,0,$258 total
DoubleTree by Hilton New York Times Square West,2023/2/27,2023/2/28,2023/3/1,0,1,New York,6.6,"(2,528 reviews)",,,0,$198 total
Bentley Hotel,2023/2/27,2023/2/28,2023/3/1,0,1,New York,6.8,"(1,199 reviews)",,,0,$187 total
Hilton New York JFK Airport,2023/2/27,2023/2/28,2023/3/1,0,1,Queens,7.4,Good,"(1,064 reviews)",Airport shuttle included,0,$193 total
Park Central Hotel New York,2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.0,Very Good,"(2,300 reviews)",,Fully refundable,$304 total
Hotel Riu Plaza New York Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,New York,8.8,Excellent,"(3,317 reviews)",Breakfast included,Fully refundable,$334 total
"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",2023/2/27,2023/2/28,2023/3/1,0,1,New York,7.8,Good,"(1,074 reviews)",Breakfast included,Fully refundable,$203 total
Latisha luxury place,2023/2/27,2023/2/28,2023/3/1,0,1,Entire home,,,,,0,$157 total
