Name,SnapShotDate,Checkin,Checkout,NumOfWeekendDays,Nights,RoomType,BedType,Breakfast,Review,Rating,Score,Cancellation,Sustainable,CenterDistance,Location,Stars,Taxes,PriceBdiscount,Price
Courtyard by Marriott New York Manhattan/Central Park,2023/3/1,2023/3/2,2023/3/3,0,1,King or Queen Room with City View,1 queen bed,0,"3,297 reviews",Very Good,8.2,0,0,450 m from center,"Manhattan, New York",4,$37 taxes and charges,No Discount,US$229
Fairfield Inn by Marriott New York Manhattan/Financial District,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,Breakfast included,"2,269 reviews",Good,7.5,0,0,7.2 km from center,"Wall Street - Financial District, New York",3,$21 taxes and charges,No Discount,US$119
CIVILIAN Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Double Room,1 queen bed,0,"1,154 reviews",Very Good,8.5,0,0,0.9 km from center,"Hell's Kitchen, New York",4,$25 taxes and charges,No Discount,US$149
citizenM New York Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"2,786 reviews",Excellent,8.7,0,0,0.8 km from center,"Manhattan, New York",4,$28 taxes and charges,No Discount,US$169
The Cloud One New York-Downtown,2023/3/1,2023/3/2,2023/3/3,0,1,Standard King Room,1 king bed,0,508 reviews,Very Good,8.2,FREE cancellation • No prepayment needed,0,7 km from center,"Wall Street - Financial District, New York",4,$28 taxes and charges,No Discount,US$169
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,Breakfast included,"3,901 reviews",Very Good,8.2,FREE cancellation • No prepayment needed,0,2.1 km from center,"Hell's Kitchen, New York",4,$27 taxes and charges,No Discount,US$160
M Social Hotel Times Square New York,2023/3/1,2023/3/2,2023/3/3,0,1,Social City View King,1 king bed,0,"5,510 reviews",Very Good,8.4,0,0,0.6 km from center,"Manhattan, New York",4,$69 taxes and charges,No Discount,US$169
TBA Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe King Studio,"Entire studio • 1 bathroom • 325m²
1 king bed",0,"8,070 reviews",Good,7.5,0,0,1.6 km from center,"Hell's Kitchen, New York",3,$20 taxes and charges,No Discount,US$110
Four Points by Sheraton Manhattan SoHo Village,2023/3/1,2023/3/2,2023/3/3,0,1,"Guest Room, 1 King",1 king bed,0,770 reviews,Good,7.6,0,0,5 km from center,"SoHo, New York",3,$21 taxes and charges,No Discount,US$119
Hampton Inn Manhattan Times Square North,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,Breakfast included,"2,632 reviews",Good,7.8,0,0,0.6 km from center,"Hell's Kitchen, New York",3,$24 taxes and charges,No Discount,US$139
Hotel Edison Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Signature 1 Queen Bed,1 queen bed,Breakfast included,"11,163 reviews",Good,7.3,0,0,1 km from center,"Manhattan, New York",4,$69 taxes and charges,No Discount,US$169
Dylan Hotel NYC,2023/3/1,2023/3/2,2023/3/3,0,,Luxury Queen Room,1 queen bed,0,"2,358 reviews",Good,7.8,0,0,1.8 km from center,"Murray Hill, New York",4,$40 taxes and charges,No Discount,
Hampton Inn Manhattan Times Square North,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,Breakfast included,"2,632 reviews",Good,7.8,0,0,0.6 km from center,"Hell's Kitchen, New York",3,$24 taxes and charges,No Discount,US$139
Citadines Connect Fifth Avenue New York,2023/3/1,2023/3/2,2023/3/3,0,1,Premier King Room,1 king bed,Breakfast included,"2,989 reviews",Good,7.7,0,0,1.4 km from center,"Manhattan, New York",3,$42 taxes and charges,No Discount,US$108
Fairfield Inn by Marriott New York Manhattan/Financial District,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,Breakfast included,"2,269 reviews",Good,7.5,0,0,7.2 km from center,"Wall Street - Financial District, New York",3,$21 taxes and charges,No Discount,US$119
"Holiday Inn Express - Times Square South, an IHG Hotel",2023/3/1,2023/3/2,2023/3/3,0,1,King Room - Non-Smoking,1 king bed,Breakfast included,"3,310 reviews",Good,7.7,0,0,2 km from center,"Manhattan, New York",3,$24 taxes and charges,No Discount,US$139
"Hotel Shocard Broadway, Times Square",2023/3/1,2023/3/2,2023/3/3,0,1,Standard Double Room,1 full bed,0,"1,067 reviews",Good,7.6,0,0,1.5 km from center,"Manhattan, New York",3,$45 taxes and charges,No Discount,US$80
The Pearl Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Superior Queen Room,1 queen bed,Breakfast included,951 reviews,Excellent,8.6,0,0,0.8 km from center,"Manhattan, New York",4,$66 taxes and charges,No Discount,US$189
Sheraton Tribeca New York Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Standard King Room,1 king bed,0,"2,455 reviews",Good,7.6,0,0,5.6 km from center,"Tribeca, New York",4,$24 taxes and charges,No Discount,US$139
Wingate by Wyndham New York Midtown South/5th Ave,2023/3/1,2023/3/2,2023/3/3,0,1,King Room - Non-Smoking,1 king bed,Breakfast included,"1,506 reviews",Good,7.9,0,0,1.9 km from center,"Manhattan, New York",3,$24 taxes and charges,No Discount,US$142
U Hotel Fifth Avenue I Empire State Building,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,0,"1,697 reviews",Good,7.9,0,0,2.1 km from center,"Manhattan, New York",3,$43 taxes and charges,No Discount,US$110
citizenM New York Bowery,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"2,207 reviews",Excellent,8.8,0,0,5.4 km from center,"Lower East Side, New York",4,$30 taxes and charges,No Discount,US$179
HGU New York,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Deluxe,1 queen bed,Breakfast included,"1,537 reviews",Good,7.4,0,0,2.4 km from center,"Manhattan, New York",4,$26 taxes and charges,No Discount,US$155
"Hotel 50 Bowery, part of JdV by Hyatt",2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,824 reviews,Excellent,8.6,0,0,5.9 km from center,"Chinatown, New York",4,$59 taxes and charges,No Discount,US$179
Empire Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Standard Queen Room,1 queen bed,0,"2,486 reviews",Review score,6.8,0,0,400 m from center,"Upper West Side, New York",4,$50 taxes and charges,No Discount,US$159
Broadway Plaza Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe Two Full (Renovated room),2 full beds,0,528 reviews,Very Good,8.4,0,0,2.7 km from center,"NoMad, New York",3,$36 taxes and charges,No Discount,US$134
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,"Accessible, Guest room, 1 Queen",1 queen bed,Breakfast included,"4,599 reviews",Good,7.6,0,0,1.6 km from center,"Hell's Kitchen, New York",4,$28 taxes and charges,No Discount,US$169
Hilton Garden Inn New York Times Square South,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"2,652 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,1.8 km from center,"Hell's Kitchen, New York",3,$25 taxes and charges,No Discount,US$145
Homewood Suites Midtown Manhattan Times Square South,2023/3/1,2023/3/2,2023/3/3,0,1,Efficiency King Studio,"Entire studio • 1 bathroom • 25m²
1 king bed",Breakfast included,"2,972 reviews",Very Good,8.2,FREE cancellation • No prepayment needed,0,1.8 km from center,"Hell's Kitchen, New York",3,$25 taxes and charges,No Discount,US$149
Hampton Inn Times Square Central,2023/3/1,2023/3/2,2023/3/3,0,1,Double Room with Two Double Beds - Disability Access,2 full beds,Breakfast included,"2,267 reviews",Very Good,8.2,0,0,1.5 km from center,"Manhattan, New York",3,$23 taxes and charges,No Discount,US$135
Hotel Edison Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Signature 1 Queen Bed,1 queen bed,Breakfast included,"11,163 reviews",Good,7.3,0,0,1 km from center,"Manhattan, New York",4,$69 taxes and charges,No Discount,US$169
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room - Non-Smoking,1 queen bed,0,534 reviews,Excellent,8.7,0,0,1.5 km from center,"Midtown East, New York",3,$45 taxes and charges,No Discount,US$124
"Club Quarters Hotel Times Square, New York",2023/3/1,2023/3/2,2023/3/3,0,1,Small Single Room,1 full bed,0,"2,512 reviews",Good,7.8,0,0,1.3 km from center,"Manhattan, New York",4,$24 taxes and charges,No Discount,US$139
The Time New York,2023/3/1,2023/3/2,2023/3/3,0,1,Petite Full Room,1 full bed,Breakfast included,"1,211 reviews",Good,7.5,0,0,0.8 km from center,"Manhattan, New York",4,$61 taxes and charges,No Discount,US$157
Park Central,2023/3/1,2023/3/2,2023/3/3,0,1,Classic King Room,1 king bed,0,"2,563 reviews",Good,7.6,0,0,400 m from center,"Manhattan, New York",4,$68 taxes and charges,No Discount,US$143
Millennium Downtown New York,2023/3/1,2023/3/2,2023/3/3,0,1,Superior King Room,1 king bed,0,"3,596 reviews",Good,7.4,FREE cancellation • No prepayment needed,0,6.8 km from center,"Wall Street - Financial District, New York",4,$63 taxes and charges,No Discount,US$134
The Manhattan at Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Standard Queen Room,1 queen bed,0,"4,008 reviews",Review score,5.6,0,0,0.7 km from center,"Manhattan, New York",4,$57 taxes and charges,US$109,US$87
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,2023/3/1,2023/3/2,2023/3/3,0,1,1 King Bed,1 king bed,Breakfast included,"5,173 reviews",Very Good,8.0,0,0,1.9 km from center,"Hell's Kitchen, New York",4,$28 taxes and charges,No Discount,US$169
The Allen Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe King Room,1 king bed,0,"1,386 reviews",Good,7.9,0,0,5.6 km from center,"Lower East Side, New York",4,$46 taxes and charges,US$108,US$92
Hilton Garden Inn Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,0,"2,189 reviews",Good,7.6,0,0,0.9 km from center,"Manhattan, New York",3,$27 taxes and charges,No Discount,US$159
Courtyard New York Downtown Manhattan/Financial District,2023/3/1,2023/3/2,2023/3/3,0,1,"Guest room, 1 King, City view",1 king bed,0,579 reviews,Good,7.3,0,0,7.1 km from center,"Wall Street - Financial District, New York",3,$20 taxes and charges,No Discount,US$109
Hilton Garden Inn New York - Times Square Central,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"1,522 reviews",Good,7.6,0,0,1.5 km from center,"Manhattan, New York",3,$55 taxes and charges,No Discount,US$154
Element Times Square West,2023/3/1,2023/3/2,2023/3/3,0,1,"Guest Room, 1 King",1 king bed,Breakfast included,"5,501 reviews",Good,7.5,FREE cancellation • No prepayment needed,0,1.6 km from center,"Hell's Kitchen, New York",4,$27 taxes and charges,No Discount,US$159
"Club Quarters Hotel Times Square, New York",2023/3/1,2023/3/2,2023/3/3,0,1,Small Single Room,1 full bed,0,"2,512 reviews",Good,7.8,0,0,1.3 km from center,"Manhattan, New York",4,$24 taxes and charges,No Discount,US$139
Pod 51,2023/3/1,2023/3/2,2023/3/3,0,1,Standard Bunk Bed Room with Shared Bathroom,1 bunk bed,0,"7,032 reviews",Good,7.8,0,0,1.7 km from center,"Midtown East, New York",3,$41 taxes and charges,No Discount,US$99
City Club Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Petite Room,1 full bed,0,"1,230 reviews",Good,7.3,0,0,1.4 km from center,"Manhattan, New York",4,$45 taxes and charges,No Discount,US$125
Royalton New York,2023/3/1,2023/3/2,2023/3/3,0,1,Standard Queen Room,1 queen bed,0,"1,370 reviews",Good,7.6,0,0,1.4 km from center,"Manhattan, New York",4,$74 taxes and charges,US$259,US$207
"Holiday Inn Express New York City Chelsea, an IHG Hotel",2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,Breakfast included,"3,022 reviews",Good,7.9,0,0,2.4 km from center,"Chelsea, New York",3,$44 taxes and charges,No Discount,US$159
SpringHill Suites by Marriott New York Manhattan/Times Square South,2023/3/1,2023/3/2,2023/3/3,0,1,1 Queen Bed,1 queen bed,Breakfast included,"4,087 reviews",Very Good,8.0,0,0,1.9 km from center,"Hell's Kitchen, New York",4,$28 taxes and charges,No Discount,US$169
Four Points by Sheraton Manhattan Chelsea,2023/3/1,2023/3/2,2023/3/3,0,1,"Guest room, 2 Double",2 full beds,0,979 reviews,Good,7.1,0,0,2.8 km from center,"Chelsea, New York",3,$21 taxes and charges,No Discount,US$116
Hampton Inn Manhattan-35th St Empire State Bldg,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,Breakfast included,"3,397 reviews",Very Good,8.3,FREE cancellation • No prepayment needed,0,2 km from center,"Manhattan, New York",4,$24 taxes and charges,No Discount,US$136
TownePlace Suites by Marriott New York Manhattan/Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,King Studio with Roll-in Shower - Mobility and Hearing Accessible,"Entire studio • 1 bathroom • 25m²
1 king bed",0,"1,451 reviews",Very Good,8.2,FREE cancellation • No prepayment needed,0,1.2 km from center,"Hell's Kitchen, New York",3,$29 taxes and charges,No Discount,US$159
Four Points by Sheraton Manhattan Midtown West,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"2,015 reviews",Very Good,8.0,FREE cancellation • No prepayment needed,0,2 km from center,"Hudson Yards, New York",4,$25 taxes and charges,No Discount,US$149
Leon Hotel LES,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe King Room,1 king bed,0,"1,303 reviews",Very Good,8.1,0,0,5.9 km from center,"Lower East Side, New York",3,$50 taxes and charges,No Discount,US$90
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"2,873 reviews",Very Good,8.5,0,0,7.7 km from center,"Wall Street - Financial District, New York",4,$27 taxes and charges,No Discount,US$159
Hotel 32 32,2023/3/1,2023/3/2,2023/3/3,0,1,Double Studio with balcony,"Entire studio • 1 bathroom • 35m²
1 full bed",0,755 reviews,Review score,6.9,0,0,2.4 km from center,"Manhattan, New York",4,$52 taxes and charges,US$177,US$133
"Hotel 50 Bowery, part of JdV by Hyatt",2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,824 reviews,Excellent,8.6,0,0,5.9 km from center,"Chinatown, New York",4,$59 taxes and charges,No Discount,US$179
NH Collection New York Madison Avenue,2023/3/1,2023/3/2,2023/3/3,0,1,Superior Double or Twin Room,Beds: 1 double or 2 twins,0,"1,166 reviews",Very Good,8.2,0,0,2 km from center,"Murray Hill, New York",4,$78 taxes and charges,No Discount,US$265
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",2023/3/1,2023/3/2,2023/3/3,0,1,Leisure King Room - Non-Smoking,1 king bed,0,616 reviews,Very Good,8.5,0,0,1.9 km from center,"Hell's Kitchen, New York",4,$67 taxes and charges,No Discount,US$199
Broadway Plaza Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe Two Full (Renovated room),2 full beds,0,528 reviews,Very Good,8.4,0,0,2.7 km from center,"NoMad, New York",3,$36 taxes and charges,No Discount,US$134
The Manhattan Club,2023/3/1,2023/3/2,2023/3/3,0,1,Metropolitan Suite,"Private suite
2 beds (1 sofa bed, 1 queen)",0,"1,721 reviews",Very Good,8.0,0,0,350 m from center,"Manhattan, New York",4,$39 taxes and charges,No Discount,US$224
Hotel Belleclaire Central Park,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe 1 Queen Accessible,1 queen bed,Breakfast included,"2,303 reviews",Very Good,8.0,0,0,1.6 km from center,"Upper West Side, New York",4,$55 taxes and charges,US$219,US$186
"Holiday Inn Express New York City Chelsea, an IHG Hotel",2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,Breakfast included,"3,022 reviews",Good,7.9,0,0,2.4 km from center,"Chelsea, New York",3,$44 taxes and charges,No Discount,US$159
"Hotel 50 Bowery, part of JdV by Hyatt",2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,824 reviews,Excellent,8.6,0,0,5.9 km from center,"Chinatown, New York",4,$59 taxes and charges,No Discount,US$179
Hilton Garden Inn New York Times Square North,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"2,407 reviews",Good,7.7,FREE cancellation • No prepayment needed,0,1.3 km from center,"Manhattan, New York",4,$33 taxes and charges,No Discount,US$199
Park Terrace Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Classic Room,1 queen bed,0,"2,427 reviews",Excellent,8.7,0,0,1.7 km from center,"Manhattan, New York",4,$43 taxes and charges,No Discount,US$269
Hilton Garden Inn Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,King Room - Disability Access,1 king bed,0,"2,189 reviews",Good,7.6,0,0,0.9 km from center,"Manhattan, New York",3,$27 taxes and charges,No Discount,US$159
Riu Plaza New York Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe King Room,1 king bed,Breakfast included,"6,341 reviews",Very Good,8.4,0,0,1 km from center,"Hell's Kitchen, New York",4,$69 taxes and charges,US$303,US$218
Hyatt Centric Times Square New York,2023/3/1,2023/3/2,2023/3/3,0,1,King Room with View,1 king bed,0,650 reviews,Very Good,8.4,0,0,1.2 km from center,"Manhattan, New York",4,$85 taxes and charges,No Discount,US$283
"Candlewood Suites NYC -Times Square, an IHG Hotel",2023/3/1,2023/3/2,2023/3/3,0,1,Queen Studio,1 queen bed,0,"1,380 reviews",Good,7.5,0,0,1.6 km from center,"Hell's Kitchen, New York",3,$44 taxes and charges,No Discount,US$147
Freehand New York,2023/3/1,2023/3/2,2023/3/3,0,1,Three's Company,"2 beds (1 bunk bed, 1 queen)",0,"1,182 reviews",Good,7.9,0,0,3.1 km from center,"Gramercy, New York",4,$61 taxes and charges,No Discount,US$155
NH Collection New York Madison Avenue,2023/3/1,2023/3/2,2023/3/3,0,1,Superior Double or Twin Room,Beds: 1 double or 2 twins,0,"1,166 reviews",Very Good,8.2,0,0,2 km from center,"Murray Hill, New York",4,$78 taxes and charges,No Discount,US$265
Hyatt Herald Square New York,2023/3/1,2023/3/2,2023/3/3,0,1,King Room - Disability Access/Shower,1 king bed,0,793 reviews,Very Good,8.0,0,0,2.4 km from center,"NoMad, New York",4,$53 taxes and charges,No Discount,US$179
Residence Inn by Marriott New York Manhattan/Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Studio with Sofa Bed,"2 beds (1 sofa bed, 1 queen)",Breakfast included,"3,077 reviews",Very Good,8.1,0,0,1.7 km from center,"Manhattan, New York",4,$38 taxes and charges,No Discount,US$219
Dream Midtown,2023/3/1,2023/3/2,2023/3/3,0,1,Accessible Queen,1 queen bed,0,677 reviews,Good,7.5,0,0,400 m from center,"Manhattan, New York",4,$61 taxes and charges,No Discount,US$157
Four Points by Sheraton Midtown - Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Double Room,1 full bed,0,"1,955 reviews",Good,7.8,0,0,1.6 km from center,"Hell's Kitchen, New York",4,$25 taxes and charges,US$169,US$144
Hard Rock Hotel New York,2023/3/1,2023/3/2,2023/3/3,0,1,Standard King Room,1 king bed,0,"1,236 reviews",Excellent,8.8,0,0,1 km from center,"Manhattan, New York",5,$102 taxes and charges,No Discount,US$359
Archer Hotel New York,2023/3/1,2023/3/2,2023/3/3,0,,Classic King Guest Room,1 king bed,0,717 reviews,Excellent,8.7,0,0,1.8 km from center,"Manhattan, New York",4,$43 taxes and charges,No Discount,
Pestana Park Avenue,2023/3/1,2023/3/2,2023/3/3,0,1,Classic Room,1 queen bed,0,850 reviews,Very Good,8.5,0,0,1.9 km from center,"Murray Hill, New York",4,$56 taxes and charges,US$249,US$199
Hotel Indigo Lower East Side New York,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,0,734 reviews,Good,7.6,0,0,5.2 km from center,"Lower East Side, New York",4,$69 taxes and charges,No Discount,US$179
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,"Accessible, Guest room, 1 Queen",1 queen bed,Breakfast included,"4,599 reviews",Good,7.6,0,0,1.6 km from center,"Hell's Kitchen, New York",4,$28 taxes and charges,No Discount,US$169
Moxy NYC Downtown,2023/3/1,2023/3/2,2023/3/3,0,1,Queen Room,1 queen bed,0,450 reviews,Very Good,8.2,0,0,6.7 km from center,"Wall Street - Financial District, New York",4,$55 taxes and charges,No Discount,US$179
The Manhattan Club,2023/3/1,2023/3/2,2023/3/3,0,1,Metropolitan Suite,"Private suite
2 beds (1 sofa bed, 1 queen)",0,"1,721 reviews",Very Good,8.0,0,0,350 m from center,"Manhattan, New York",4,$39 taxes and charges,No Discount,US$224
Warwick New York,2023/3/1,2023/3/2,2023/3/3,0,1,Premier King Bed,1 king bed,0,"4,408 reviews",Good,7.8,0,0,0.7 km from center,"Manhattan, New York",4,$68 taxes and charges,No Discount,US$215
Hilton Garden Inn New York Times Square South,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,0,"2,652 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,1.8 km from center,"Hell's Kitchen, New York",3,$25 taxes and charges,No Discount,US$145
Embassy Suites By Hilton New York Manhattan Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,1 King Bed Studio with Sofa,"Private suite
2 beds (1 king, 1 sofa bed)",Breakfast included,"4,107 reviews",Good,7.9,0,0,1.9 km from center,"Manhattan, New York",4,$67 taxes and charges,No Discount,US$199
Moxy NYC East Village,2023/3/1,2023/3/2,2023/3/3,0,1,"Guest room, 1 Queen",1 queen bed,0,"1,699 reviews",Very Good,8.2,0,0,4.1 km from center,"East Village, New York",4,$69 taxes and charges,No Discount,US$209
Pestana Park Avenue,2023/3/1,2023/3/2,2023/3/4,0,2,Classic Room,1 queen bed,0,850 reviews,Very Good,8.5,0,0,1.9 km from center,"Murray Hill, New York",4,$107 taxes and charges,US$394,US$366
Margaritaville Resort Times Square,2023/3/1,2023/3/2,2023/3/4,0,,Standard King Room,1 king bed,0,"1,355 reviews",Excellent,8.8,0,0,1.5 km from center,"Manhattan, New York",4,$180 taxes and charges,No Discount,
The Tuscany Powered by LuxUrban,2023/3/1,2023/3/2,2023/3/4,0,2,Double Room,1 king bed,0,45 reviews,Good,7.9,Free cancellation,0,2.1 km from center,"Murray Hill, New York",4,$39 taxes and charges,No Discount,US$220
The Herald 8 by LuxUrban,2023/3/1,2023/3/2,2023/3/4,0,2,King Room,1 king bed,0,"2,135 reviews",Good,7.7,Free cancellation,0,2 km from center,"Manhattan, New York",,$56 taxes and charges,No Discount,US$337
Pod Times Square,2023/3/1,2023/3/2,2023/3/4,0,2,Standard Bunk Bed Room,2 twin beds,0,"12,746 reviews",Very Good,8.1,0,0,1.4 km from center,"Hell's Kitchen, New York",4,$92 taxes and charges,No Discount,US$268
TBA Times Square,2023/3/1,2023/3/2,2023/3/4,0,2,Studio - Disability Access,"Entire studio • 1 bathroom • 325m²
1 king bed",0,"8,070 reviews",Good,7.5,0,0,1.6 km from center,"Hell's Kitchen, New York",3,$48 taxes and charges,No Discount,US$276
YOTEL New York Times Square,2023/3/1,2023/3/2,2023/3/4,0,2,Empire State Building View,1 full bed,0,"3,800 reviews",Good,7.1,0,0,1.5 km from center,"Hell's Kitchen, New York",4,$123 taxes and charges,US$229,US$206
Riu Plaza Manhattan Times Square,2023/3/1,2023/3/2,2023/3/4,0,2,Deluxe King,1 king bed,0,"6,372 reviews",Excellent,8.6,0,0,1 km from center,"Manhattan, New York",4,$141 taxes and charges,US$634,US$457
The Cloud One New York-Downtown,2023/3/1,2023/3/2,2023/3/4,0,2,Standard Double Room with Two Double Beds,2 full beds,0,508 reviews,Very Good,8.2,FREE cancellation • No prepayment needed,0,7 km from center,"Wall Street - Financial District, New York",4,$57 taxes and charges,No Discount,US$338
Hilton Garden Inn New York Central Park South-Midtown West,2023/3/1,2023/3/2,2023/3/4,0,2,King Room with Roll-In Shower - Disability Access,1 king bed,0,"5,419 reviews",Good,7.1,0,0,450 m from center,"Manhattan, New York",4,$64 taxes and charges,No Discount,US$385
M Social Hotel Times Square New York,2023/3/1,2023/3/2,2023/3/4,0,2,Social City View King,1 king bed,0,"5,510 reviews",Very Good,8.4,0,0,0.6 km from center,"Manhattan, New York",4,$143 taxes and charges,US$408,US$379
