Name,SnapShotDate,Checkin,Checkout,NumOfWeekendDays,Nights,RoomType,BedType,Breakfast,Review,Rating,Score,Cancellation,Sustainable,CenterDistance,Location,Stars,Taxes,PriceBdiscount,Price
Pestana Park Avenue,2023/3/1,2023/3/2,2023/3/3,0,1,Classic Room,1 queen bed,0,850 reviews,Very Good,8.5,0,0,1.9 km from center,"Murray Hill, New York",4,$56 taxes and charges,US$249,US$199
Margaritaville Resort Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Standard King Room,1 king bed,0,"1,355 reviews",Excellent,8.8,0,0,1.5 km from center,"Manhattan, New York",4,$91 taxes and charges,No Discount,US$149
The Tuscany Powered by LuxUrban,2023/3/1,2023/3/2,2023/3/3,0,1,Double Room,1 king bed,0,45 reviews,Good,7.9,Free cancellation,0,2.1 km from center,"Murray Hill, New York",4,$16 taxes and charges,No Discount,US$86
Pod Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Standard Bunk Bed Room,2 twin beds,0,"12,746 reviews",Very Good,8.1,0,0,1.4 km from center,"Hell's Kitchen, New York",4,$41 taxes and charges,No Discount,US$99
Hyatt Place New York City/Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,King Room,1 king bed,Breakfast included,"14,983 reviews",Good,7.6,0,0,1.7 km from center,"Hell's Kitchen, New York",4,$26 taxes and charges,No Discount,US$155
The Herald 8 by LuxUrban,2023/3/1,2023/3/2,2023/3/3,0,1,Double Room - Disability Access,1 king bed,0,"2,135 reviews",Good,7.7,Free cancellation,0,2 km from center,"Manhattan, New York",,$26 taxes and charges,No Discount,US$158
Riu Plaza Manhattan Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Deluxe King,1 king bed,0,"6,372 reviews",Excellent,8.6,0,0,1 km from center,"Manhattan, New York",4,$65 taxes and charges,US$262,US$188
TownePlace Suites by Marriott New York Manhattan/Chelsea,2023/3/1,2023/3/2,2023/3/3,0,1,King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",Breakfast included,"2,253 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,2.5 km from center,"Chelsea, New York",4,$27 taxes and charges,No Discount,US$159
West Side YMCA,2023/3/1,2023/3/2,2023/3/3,0,1,Bunk Bed Room with Shared Bathroom,1 bunk bed,0,"7,454 reviews",Review score,6.6,0,0,350 m from center,"Upper West Side, New York",3,$10 taxes and charges,US$122,US$104
Hilton Garden Inn New York/Midtown Park Avenue,2023/3/1,2023/3/2,2023/3/3,0,1,King Room - Hearing Accessible,1 king bed,0,832 reviews,Very Good,8.0,0,0,2.4 km from center,"Manhattan, New York",3,$24 taxes and charges,No Discount,US$140
YOTEL New York Times Square,2023/3/1,2023/3/2,2023/3/3,0,1,Premium Queen View,1 queen bed,0,"3,800 reviews",Good,7.1,0,0,1.5 km from center,"Hell's Kitchen, New York",4,$63 taxes and charges,US$127,US$114
"The New Yorker, A Wyndham Hotel",2023/3/1,2023/3/2,2023/3/3,0,1,Standard Queen Room,1 queen bed,0,"8,912 reviews",Good,7.7,0,0,2 km from center,"Hell's Kitchen, New York",4,$56 taxes and charges,No Discount,US$129
The Belvedere Hotel,2023/3/1,2023/3/2,2023/3/3,0,1,Standard King Room,1 king bed,0,"3,633 reviews",Very Good,8.0,0,0,0.9 km from center,"Hell's Kitchen, New York",4,$47 taxes and charges,No Discount,US$129
