Name,SnapShotDate,Checkin,Checkout,NumOfWeekendDays,Nights,RoomType,BedType,Breakfast,Review,Rating,Score,Cancellation,Sustainable,CenterDistance,Location,Stars,Taxes,PriceBdiscount,Price
Ink 48 Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"1,312 reviews",Good,7.9,0,0,1.2 km from center,"Hell's Kitchen, New York",4,$76 taxes and charges,US$299,US$179
Margaritaville Resort Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Standard Queen Room,1 queen bed,0,"1,361 reviews",Excellent,8.8,0,0,1.5 km from center,"Manhattan, New York",4,$107 taxes and charges,No Discount,US$259
Omni Berkshire Place,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe King Room,1 king bed,0,516 reviews,Excellent,8.7,0,0,1.1 km from center,"Midtown East, New York",4,$68 taxes and charges,No Discount,US$203
"InterContinental New York Barclay Hotel, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Classic Double Room,,0,895 reviews,Very Good,8.0,0,0,1.5 km from center,"Midtown East, New York",5,$91 taxes and charges,No Discount,US$239
Archer Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,Room Type Selected by Hotel,1 full bed,0,716 reviews,Excellent,8.7,0,0,1.8 km from center,"Manhattan, New York",4,$45 taxes and charges,No Discount,US$279
New York Marriott Marquis,2023/3/3,2023/3/4,2023/3/5,1,1,"Renovated Deluxe, Guest room, 1 King, Sofa bed","2 beds (1 king, 1 sofa bed)",0,"1,710 reviews",Very Good,8.2,0,0,1.1 km from center,"Manhattan, New York",5,$101 taxes and charges,No Discount,US$429
citizenM New York Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"2,777 reviews",Excellent,8.7,0,0,0.8 km from center,"Manhattan, New York",4,$43 taxes and charges,No Discount,US$269
Hyatt Place NYC Chelsea,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,Breakfast included,"6,372 reviews",Good,7.9,0,0,2.8 km from center,"Chelsea, New York",4,$36 taxes and charges,No Discount,US$219
Grayson Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,48 reviews,Very Good,8.2,0,0,1.8 km from center,"Manhattan, New York",4,$63 taxes and charges,No Discount,US$195
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room - Non-Smoking,1 queen bed,0,533 reviews,Excellent,8.7,0,0,1.5 km from center,"Midtown East, New York",3,$56 taxes and charges,No Discount,US$200
"InterContinental New York Times Square, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Classic King Room - Low Floor,1 king bed,0,"1,353 reviews",Very Good,8.1,0,0,1.2 km from center,"Hell's Kitchen, New York",4,$89 taxes and charges,No Discount,US$269
NH Collection New York Madison Avenue,2023/3/3,2023/3/4,2023/3/5,1,1,Superior King Room,1 king bed,0,"1,167 reviews",Very Good,8.2,0,0,2 km from center,"Murray Hill, New York",4,$79 taxes and charges,No Discount,US$277
The Tuscany Powered by LuxUrban,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe Studio,1 king bed,0,47 reviews,Good,7.8,Free cancellation,0,2.1 km from center,"Murray Hill, New York",4,$29 taxes and charges,No Discount,US$174
The Belvedere Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,Standard Room with Two Double Beds,2 full beds,0,"3,636 reviews",Very Good,8.0,0,0,0.9 km from center,"Hell's Kitchen, New York",4,$68 taxes and charges,No Discount,US$269
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,2023/3/3,2023/3/4,2023/3/5,1,1,1 King Bed,1 king bed,Breakfast included,"5,188 reviews",Very Good,8.0,0,0,1.9 km from center,"Hell's Kitchen, New York",4,$34 taxes and charges,No Discount,US$209
Park Terrace Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,Classic Room,1 queen bed,0,"2,424 reviews",Excellent,8.7,0,0,1.7 km from center,"Manhattan, New York",4,$43 taxes and charges,No Discount,US$269
MOXY NYC Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Double Room,1 full bed,Breakfast included,"8,853 reviews",Very Good,8.0,0,0,1.9 km from center,"Manhattan, New York",4,$75 taxes and charges,No Discount,US$249
M Social Hotel Times Square New York,2023/3/3,2023/3/4,2023/3/5,1,1,Social City View King,1 king bed,0,"5,521 reviews",Very Good,8.4,0,0,0.6 km from center,"Manhattan, New York",4,$80 taxes and charges,No Discount,US$249
The James New York - NoMad,2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room,1 queen bed,0,501 reviews,Very Good,8.1,0,0,2.6 km from center,"NoMad, New York",4,$84 taxes and charges,US$249,US$237
Hyatt Grand Central New York,2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room,1 queen bed,0,"1,200 reviews",Good,7.3,0,0,1.9 km from center,"Midtown East, New York",4,$82 taxes and charges,No Discount,US$219
Royalton Park Avenue,2023/3/3,2023/3/4,2023/3/5,1,1,Superior Queen Room,1 queen bed,0,960 reviews,Very Good,8.2,0,0,2.7 km from center,"NoMad, New York",5,$82 taxes and charges,No Discount,US$220
Moxy NYC Chelsea,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"3,719 reviews",Very Good,8.3,0,0,2.5 km from center,"Chelsea, New York",4,$76 taxes and charges,No Discount,US$259
The Cloud One New York-Downtown,2023/3/3,2023/3/4,2023/3/5,1,1,Standard King Room,1 king bed,0,511 reviews,Very Good,8.2,FREE cancellation • No prepayment needed,0,7 km from center,"Wall Street - Financial District, New York",4,$30 taxes and charges,No Discount,US$179
The Herald 8 by LuxUrban,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"2,155 reviews",Good,7.7,Free cancellation,0,2 km from center,"Manhattan, New York",,$27 taxes and charges,No Discount,US$162
CIVILIAN Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,Double Room,1 queen bed,0,"1,163 reviews",Very Good,8.5,0,0,0.9 km from center,"Hell's Kitchen, New York",4,$42 taxes and charges,No Discount,US$259
1 Hotel Central Park,2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room,1 queen bed,0,492 reviews,Very Good,8.4,0,0,0.6 km from center,"Manhattan, New York",5,$121 taxes and charges,US$682,US$409
citizenM New York Bowery,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"2,200 reviews",Excellent,8.8,0,0,5.4 km from center,"Lower East Side, New York",4,$42 taxes and charges,No Discount,US$259
"Club Quarters Hotel Grand Central, New York",2023/3/3,2023/3/4,2023/3/5,1,1,Small Queen Room,1 queen bed,0,"2,282 reviews",Very Good,8.0,0,0,1.8 km from center,"Midtown East, New York",4,$34 taxes and charges,No Discount,US$209
Pestana Park Avenue,2023/3/3,2023/3/4,2023/3/5,1,1,Classic Room,1 queen bed,0,840 reviews,Very Good,8.5,0,0,1.9 km from center,"Murray Hill, New York",4,$60 taxes and charges,US$285,US$228
Dream Downtown,2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room,1 queen bed,0,651 reviews,Good,7.2,0,0,3.4 km from center,"Chelsea, New York",4,$91 taxes and charges,No Discount,US$205
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,2023/3/3,2023/3/4,2023/3/5,1,1,1 King Bed,1 king bed,Breakfast included,"5,188 reviews",Very Good,8.0,0,0,1.9 km from center,"Hell's Kitchen, New York",4,$34 taxes and charges,No Discount,US$209
