Name,SnapShotDate,Checkin,Checkout,NumOfWeekendDays,Nights,RoomType,BedType,Breakfast,Review,Rating,Score,Cancellation,Sustainable,CenterDistance,Location,Stars,Taxes,PriceBdiscount,Price
"Kimpton Hotel Eventi, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,King Room with Mobility Accessible Roll-In Shower and City View,1 king bed,0,456 reviews,Very Good,8.2,0,0,2.4 km from center,"Chelsea, New York",5,$72 taxes and charges,No Discount,US$307
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Standard Room with Queen Bed - Non-Smoking,1 queen bed,0,524 reviews,Very Good,8.3,0,0,7.3 km from center,"Wall Street - Financial District, New York",4,$66 taxes and charges,No Discount,US$229
"The Bernic Hotel New York City,Tapestry Collection by Hilton",2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room,1 queen bed,0,"1,199 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,1.7 km from center,"Midtown East, New York",4,$33 taxes and charges,No Discount,US$199
Renaissance New York Midtown Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,King Room with Skyline View,1 king bed,0,"1,049 reviews",Very Good,8.5,0,0,2 km from center,"Manhattan, New York",4,$49 taxes and charges,No Discount,US$309
The Herald 8 by LuxUrban,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"2,155 reviews",Good,7.7,Free cancellation,0,2 km from center,"Manhattan, New York",,$27 taxes and charges,No Discount,US$162
Hilton Garden Inn West 35th Street,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"2,499 reviews",Very Good,8.3,FREE cancellation • No prepayment needed,0,2 km from center,"Manhattan, New York",3,$37 taxes and charges,No Discount,US$227
The Kitano Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,Superior King Room,1 king bed,0,457 reviews,Very Good,8.5,0,0,2.1 km from center,"Murray Hill, New York",4,$50 taxes and charges,No Discount,US$315
Arlo NoMad,2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room Urban,1 queen bed,0,"2,401 reviews",Very Good,8.1,0,0,2.4 km from center,"NoMad, New York",4,$68 taxes and charges,No Discount,US$266
New York Hilton Midtown,2023/3/3,2023/3/4,2023/3/5,1,1,Urban 1 Queen Bed,1 queen bed,0,832 reviews,Good,7.5,0,0,0.7 km from center,"Manhattan, New York",4,$82 taxes and charges,No Discount,US$299
SpringHill Suites by Marriott New York Manhattan Chelsea,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,"Private suite
1 king bed",Breakfast included,"3,728 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,2.5 km from center,"Chelsea, New York",4,$37 taxes and charges,No Discount,US$229
Courtyard by Marriott New York Manhattan/Central Park,2023/3/3,2023/3/4,2023/3/5,1,1,King or Queen Room with City View,1 queen bed,0,"3,307 reviews",Very Good,8.2,0,0,450 m from center,"Manhattan, New York",4,$46 taxes and charges,No Discount,US$289
"EVEN Midtown East - Grand Central, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Standard King Room,1 king bed,0,890 reviews,Very Good,8.3,0,0,2 km from center,"Midtown East, New York",4,$63 taxes and charges,No Discount,US$209
INNSiDE by Meliá New York Nomad,2023/3/3,2023/3/4,2023/3/5,1,1,The INNSiDE Room - Queen,1 queen bed,0,676 reviews,Very Good,8.3,0,0,2.6 km from center,"Chelsea, New York",4,$74 taxes and charges,No Discount,US$207
"Le Meridien New York, Central Park by Marriott",2023/3/3,2023/3/4,2023/3/5,1,1,"Guest Room, 1 King, Cozy King",1 king bed,0,438 reviews,Good,7.2,0,0,500 m from center,"Manhattan, New York",5,$70 taxes and charges,No Discount,US$278
Concorde Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,City View 1 Queen Bed,1 queen bed,0,"1,264 reviews",Excellent,8.6,0,0,1.3 km from center,"Midtown East, New York",4,$79 taxes and charges,No Discount,US$319
Hyatt Centric Wall Street New York,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,225 reviews,Very Good,8.5,FREE cancellation • No prepayment needed,0,7.3 km from center,"Wall Street - Financial District, New York",4,$65 taxes and charges,No Discount,US$219
Refinery Hotel - New York,2023/3/3,2023/3/4,2023/3/5,1,1,Studio Queen Room,1 queen bed,0,269 reviews,Very Good,8.2,0,0,1.8 km from center,"Manhattan, New York",5,$92 taxes and charges,US$319,US$287
ModernHaus SoHo,2023/3/3,2023/3/4,2023/3/5,1,1,Newly Renovated Standard Queen Room,1 queen bed,0,448 reviews,Very Good,8.5,0,0,5.4 km from center,"SoHo, New York",5,$107 taxes and charges,No Discount,US$345
Hyatt Place New York City/Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,Breakfast included,"14,986 reviews",Good,7.6,0,0,1.7 km from center,"Hell's Kitchen, New York",4,$37 taxes and charges,No Discount,US$229
Riu Plaza Manhattan Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe King,1 king bed,0,"6,409 reviews",Excellent,8.6,0,0,1 km from center,"Manhattan, New York",4,$82 taxes and charges,US$428,US$308
"InterContinental New York Times Square, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Classic King Room - Low Floor,1 king bed,0,"1,353 reviews",Very Good,8.1,0,0,1.2 km from center,"Hell's Kitchen, New York",4,$89 taxes and charges,No Discount,US$269
Lotte New York Palace,2023/3/3,2023/3/4,2023/3/5,1,1,Superior Room with King Bed,1 king bed,0,330 reviews,Very Good,8.1,0,0,1.3 km from center,"Midtown East, New York",5,$74 taxes and charges,No Discount,US$475
The Benjamin Royal Sonesta New York,2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room,1 queen bed,0,585 reviews,Good,7.6,0,0,1.5 km from center,"Midtown East, New York",5,$85 taxes and charges,US$249,US$212
Hilton Garden Inn West 35th Street,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"2,499 reviews",Very Good,8.3,FREE cancellation • No prepayment needed,0,2 km from center,"Manhattan, New York",3,$37 taxes and charges,No Discount,US$227
The Knickerbocker,2023/3/3,2023/3/4,2023/3/5,1,1,Superior Room with One King Bed,1 king bed,0,"1,330 reviews",Very Good,8.4,0,0,1.4 km from center,"Manhattan, New York",5,$110 taxes and charges,No Discount,US$375
Hilton Garden Inn New York Times Square South,2023/3/3,2023/3/4,2023/3/5,1,1,King Room - Disability Access,1 king bed,0,"2,651 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,1.8 km from center,"Hell's Kitchen, New York",3,$36 taxes and charges,No Discount,US$222
"Martinique New York on Broadway, Curio Collection by Hilton",2023/3/3,2023/3/4,2023/3/5,1,1,Double Room,1 full bed,0,619 reviews,Very Good,8.1,FREE cancellation • No prepayment needed,0,2.3 km from center,"Manhattan, New York",4,$77 taxes and charges,No Discount,US$229
Archer Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,Classic King Guest Room,1 king bed,0,716 reviews,Excellent,8.7,0,0,1.8 km from center,"Manhattan, New York",4,$43 taxes and charges,No Discount,US$268
TBA Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe King Studio,"Entire studio • 1 bathroom • 325m²
1 king bed",0,"8,102 reviews",Good,7.5,0,0,1.6 km from center,"Hell's Kitchen, New York",3,$33 taxes and charges,No Discount,US$197
Millennium Hilton New York One UN Plaza,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"2,207 reviews",Good,7.8,FREE cancellation • No prepayment needed,0,2.2 km from center,"Midtown East, New York",4,$39 taxes and charges,No Discount,US$239
Aliz Hotel Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"3,582 reviews",Good,7.8,0,0,1.6 km from center,"Hell's Kitchen, New York",4,$74 taxes and charges,No Discount,US$242
Roxy Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,Superior King Room,1 king bed,0,953 reviews,Very Good,8.4,0,0,5.8 km from center,"Tribeca, New York",4,$88 taxes and charges,No Discount,US$299
ModernHaus SoHo,2023/3/3,2023/3/4,2023/3/5,1,1,Newly Renovated Standard Queen Room,1 queen bed,0,448 reviews,Very Good,8.5,0,0,5.4 km from center,"SoHo, New York",5,$107 taxes and charges,No Discount,US$345
Millennium Premier New York Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe Queen,1 queen bed,Breakfast included,"1,852 reviews",Review score,6.9,0,0,1.2 km from center,"Manhattan, New York",4,$84 taxes and charges,No Discount,US$275
Thompson Central Park - New York,2023/3/3,2023/3/4,2023/3/5,1,1,King Room with Accessible Tub - Disability Access,1 king bed,0,181 reviews,Very Good,8.1,0,0,0.5 km from center,"Manhattan, New York",5,$106 taxes and charges,No Discount,US$425
The Westin New York Grand Central,2023/3/3,2023/3/4,2023/3/5,1,1,"Traditional King, Guest room, 1 King",1 king bed,0,506 reviews,Very Good,8.0,0,0,2.1 km from center,"Murray Hill, New York",4,$72 taxes and charges,No Discount,US$229
TownePlace Suites by Marriott New York Manhattan/Chelsea,2023/3/3,2023/3/4,2023/3/5,1,1,King Studio City View with Kitchenette,1 king bed,Breakfast included,"2,265 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,2.5 km from center,"Chelsea, New York",4,$46 taxes and charges,No Discount,US$289
SIXTY SoHo,2023/3/3,2023/3/4,2023/3/5,1,1,Superior Queen Room,1 queen bed,0,725 reviews,Very Good,8.3,0,0,5.2 km from center,"SoHo, New York",5,$112 taxes and charges,No Discount,US$459
Executive Hotel Le Soleil New York,2023/3/3,2023/3/4,2023/3/5,1,1,Executive Queen Room,1 queen bed,0,"2,462 reviews",Very Good,8.2,0,0,2 km from center,"Manhattan, New York",4,$57 taxes and charges,No Discount,US$249
"Le Meridien New York, Central Park by Marriott",2023/3/3,2023/3/4,2023/3/5,1,1,"Guest Room, 1 King, Cozy King",1 king bed,0,438 reviews,Good,7.2,0,0,500 m from center,"Manhattan, New York",5,$70 taxes and charges,No Discount,US$278
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Standard Room with Queen Bed - Non-Smoking,1 queen bed,0,524 reviews,Very Good,8.3,0,0,7.3 km from center,"Wall Street - Financial District, New York",4,$66 taxes and charges,No Discount,US$229
DoubleTree by Hilton New York Times Square South,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"4,389 reviews",Good,7.9,0,0,1.8 km from center,"Hell's Kitchen, New York",4,$36 taxes and charges,No Discount,US$219
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe King Room with City View,1 king bed,Breakfast included,"3,914 reviews",Very Good,8.2,FREE cancellation • No prepayment needed,0,2.1 km from center,"Hell's Kitchen, New York",4,$51 taxes and charges,No Discount,US$320
Ace Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,Single Room,1 full bed,0,"1,021 reviews",Good,7.9,0,0,2.5 km from center,"NoMad, New York",4,$77 taxes and charges,No Discount,US$224
Hampton Inn Manhattan Chelsea,2023/3/3,2023/3/4,2023/3/5,1,1,King Room with City View,1 king bed,Breakfast included,"1,433 reviews",Good,7.8,FREE cancellation • No prepayment needed,0,2.9 km from center,"Chelsea, New York",3,$49 taxes and charges,No Discount,US$309
Thompson Central Park - New York,2023/3/3,2023/3/4,2023/3/5,1,1,King Room with Accessible Tub - Disability Access,1 king bed,0,181 reviews,Very Good,8.1,0,0,0.5 km from center,"Manhattan, New York",5,$106 taxes and charges,No Discount,US$425
Courtyard by Marriott Times Square West,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,"1,797 reviews",Very Good,8.2,FREE cancellation • No prepayment needed,0,1.8 km from center,"Hell's Kitchen, New York",4,$48 taxes and charges,No Discount,US$299
"The Beekman, a Thompson Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Queen Room,1 queen bed,0,238 reviews,Excellent,8.7,0,0,6.7 km from center,"Wall Street - Financial District, New York",5,$106 taxes and charges,No Discount,US$425
Sheraton New York Times Square Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,Traditional Queen Room with Adapted Tub - Mobility and Hearing Accessible,1 queen bed,0,970 reviews,Good,7.4,0,0,0.6 km from center,"Manhattan, New York",4,$79 taxes and charges,No Discount,US$279
The Time New York,2023/3/3,2023/3/4,2023/3/5,1,1,Superior Queen Room,1 queen bed,Breakfast included,"1,211 reviews",Good,7.5,0,0,0.8 km from center,"Manhattan, New York",4,$72 taxes and charges,No Discount,US$233
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",2023/3/3,2023/3/4,2023/3/5,1,1,Leisure King Room - Non-Smoking,1 king bed,0,616 reviews,Very Good,8.5,0,0,1.9 km from center,"Hell's Kitchen, New York",4,$79 taxes and charges,No Discount,US$279
Michelangelo Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,Executive King Room,1 king bed,0,684 reviews,Very Good,8.5,0,0,0.7 km from center,"Manhattan, New York",4,$96 taxes and charges,No Discount,US$299
TRYP by Wyndham New York City Times Square - Midtown,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,Multiple bed types,0,"2,272 reviews",Review score,6.9,0,0,1.9 km from center,"Hell's Kitchen, New York",4,$70 taxes and charges,No Discount,US$278
Renaissance New York Chelsea Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,"Guest Room, 1 King",1 king bed,0,536 reviews,Good,7.8,0,0,2.8 km from center,"Chelsea, New York",4,$72 taxes and charges,No Discount,US$229
Riu Plaza New York Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe King Room,1 king bed,Breakfast included,"6,337 reviews",Very Good,8.4,0,0,1 km from center,"Hell's Kitchen, New York",4,$90 taxes and charges,US$497,US$358
Millennium Hotel Broadway Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Standard Queen Room,1 queen bed,0,"5,878 reviews",Good,7.0,0,0,1.3 km from center,"Manhattan, New York",4,$74 taxes and charges,US$276,US$248
Freehand New York,2023/3/3,2023/3/4,2023/3/5,1,1,Premium Queen,1 queen bed,0,"1,185 reviews",Good,7.9,0,0,3.1 km from center,"Gramercy, New York",4,$67 taxes and charges,No Discount,US$199
Hotel Hendricks,2023/3/3,2023/3/4,2023/3/5,1,1,Deluxe King Room,1 king bed,0,"1,576 reviews",Good,7.8,0,0,1.8 km from center,"Manhattan, New York",4,$81 taxes and charges,No Discount,US$289
Hyatt Centric Times Square New York,2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,649 reviews,Very Good,8.4,FREE cancellation • No prepayment needed,0,1.2 km from center,"Manhattan, New York",4,$95 taxes and charges,No Discount,US$349
W New York - Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,"Wonderful Guest room, 1 King, City view",1 king bed,0,882 reviews,Good,7.7,0,0,1 km from center,"Manhattan, New York",4,$80 taxes and charges,No Discount,US$349
Moxy NYC East Village,2023/3/3,2023/3/4,2023/3/5,1,1,"Guest room, 1 Queen",1 queen bed,0,"1,692 reviews",Very Good,8.2,0,0,4.1 km from center,"East Village, New York",4,$81 taxes and charges,No Discount,US$289
Roxy Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,Superior King Room,1 king bed,0,953 reviews,Very Good,8.4,0,0,5.8 km from center,"Tribeca, New York",4,$88 taxes and charges,No Discount,US$299
Residence Inn by Marriott New York Manhattan/ Midtown Eastside,2023/3/3,2023/3/4,2023/3/5,1,1,King Studio,"Entire studio • 1 bathroom • 19m²
1 king bed",0,403 reviews,Very Good,8.4,0,0,1.7 km from center,"Midtown East, New York",4,$42 taxes and charges,No Discount,US$249
Royalton New York,2023/3/3,2023/3/4,2023/3/5,1,1,Standard Queen Room,1 queen bed,0,"1,370 reviews",Good,7.6,0,0,1.4 km from center,"Manhattan, New York",4,$89 taxes and charges,No Discount,US$309
Warwick New York,2023/3/3,2023/3/4,2023/3/5,1,1,Premier King Bed,1 king bed,0,"4,402 reviews",Good,7.8,0,0,0.7 km from center,"Manhattan, New York",4,$71 taxes and charges,No Discount,US$235
Millennium Hilton New York One UN Plaza,2023/3/3,2023/3/4,2023/3/5,1,1,Two Full Beds,2 full beds,0,"2,207 reviews",Good,7.8,FREE cancellation • No prepayment needed,0,2.2 km from center,"Midtown East, New York",4,$39 taxes and charges,No Discount,US$239
"Hotel 50 Bowery, part of JdV by Hyatt",2023/3/3,2023/3/4,2023/3/5,1,1,King Room,1 king bed,0,827 reviews,Excellent,8.6,0,0,5.9 km from center,"Chinatown, New York",4,$70 taxes and charges,No Discount,US$259
Dylan Hotel NYC,2023/3/3,2023/3/4,2023/3/5,1,1,Luxury Queen Room,1 queen bed,0,"2,357 reviews",Good,7.8,0,0,1.8 km from center,"Murray Hill, New York",4,$53 taxes and charges,No Discount,US$222
The Manhattan at Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Standard Queen Room,1 queen bed,0,"4,013 reviews",Review score,5.6,0,0,0.7 km from center,"Manhattan, New York",4,$74 taxes and charges,US$249,US$199
Ink 48 Hotel,2023/3/3,2023/3/4,2023/3/6,2,2,King Room,1 king bed,0,"1,312 reviews",Good,7.9,0,0,1.2 km from center,"Hell's Kitchen, New York",4,$142 taxes and charges,US$488,US$293
Margaritaville Resort Times Square,2023/3/3,2023/3/4,2023/3/6,2,2,Standard Queen Room,1 queen bed,0,"1,361 reviews",Excellent,8.8,0,0,1.5 km from center,"Manhattan, New York",4,$196 taxes and charges,No Discount,US$387
Omni Berkshire Place,2023/3/3,2023/3/4,2023/3/6,2,2,Deluxe King Room,1 king bed,0,516 reviews,Excellent,8.7,0,0,1.1 km from center,"Midtown East, New York",4,$145 taxes and charges,No Discount,US$466
NH Collection New York Madison Avenue,2023/3/3,2023/3/4,2023/3/6,2,2,Superior King Room,1 king bed,0,"1,167 reviews",Very Good,8.2,0,0,2 km from center,"Murray Hill, New York",4,$152 taxes and charges,No Discount,US$507
Park Terrace Hotel,2023/3/3,2023/3/4,2023/3/6,2,2,Classic Room,1 queen bed,0,"2,424 reviews",Excellent,8.7,0,0,1.7 km from center,"Manhattan, New York",4,$80 taxes and charges,No Discount,US$498
"InterContinental New York Barclay Hotel, an IHG Hotel",2023/3/3,2023/3/4,2023/3/6,2,2,Classic Double Room,,0,895 reviews,Very Good,8.0,0,0,1.5 km from center,"Midtown East, New York",5,$177 taxes and charges,No Discount,US$448
"The Draper New York, Tapestry Collection by Hilton",2023/3/3,2023/3/4,2023/3/6,2,2,King Room with Bath Tub - Mobility/Hearing Access,1 king bed,0,"1,008 reviews",Very Good,8.4,0,0,1.9 km from center,"Manhattan, New York",3,$78 taxes and charges,No Discount,US$478
citizenM New York Times Square,2023/3/3,2023/3/4,2023/3/6,2,2,King Room,1 king bed,0,"2,777 reviews",Excellent,8.7,0,0,0.8 km from center,"Manhattan, New York",4,$72 taxes and charges,No Discount,US$438
Royalton Park Avenue,2023/3/3,2023/3/4,2023/3/6,2,2,Superior Queen Room,1 queen bed,0,960 reviews,Very Good,8.2,0,0,2.7 km from center,"NoMad, New York",5,$158 taxes and charges,No Discount,US$399
Moxy NYC Chelsea,2023/3/3,2023/3/4,2023/3/6,2,2,King Room,1 king bed,0,"3,719 reviews",Very Good,8.3,0,0,2.5 km from center,"Chelsea, New York",4,$139 taxes and charges,No Discount,US$430
The James New York - NoMad,2023/3/3,2023/3/4,2023/3/6,2,2,Queen Room,1 queen bed,0,501 reviews,Very Good,8.1,0,0,2.6 km from center,"NoMad, New York",4,$162 taxes and charges,US$454,US$431
M Social Hotel Times Square New York,2023/3/3,2023/3/4,2023/3/6,2,2,Social City View King,1 king bed,0,"5,521 reviews",Very Good,8.4,0,0,0.6 km from center,"Manhattan, New York",4,$143 taxes and charges,US$408,US$379
"InterContinental New York Times Square, an IHG Hotel",2023/3/3,2023/3/4,2023/3/6,2,2,Classic King Room - Low Floor,1 king bed,0,"1,353 reviews",Very Good,8.1,0,0,1.2 km from center,"Hell's Kitchen, New York",4,$168 taxes and charges,No Discount,US$468
The Time New York,2023/3/3,2023/3/4,2023/3/6,2,2,Superior Queen Room,1 queen bed,Breakfast included,"1,211 reviews",Good,7.5,0,0,0.8 km from center,"Manhattan, New York",4,$128 taxes and charges,No Discount,US$351
